Country Name,Country Code,Series Name,Series Code,2010 [YR2010]
Angola,AGO,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,..
Angola,AGO,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,..
Angola,AGO,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Angola,AGO,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,..
Angola,AGO,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,..
Angola,AGO,"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,..
Angola,AGO,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..
Angola,AGO,"Lower secondary completion rate, female (% of relevant age group)",SE.SEC.CMPT.LO.FE.ZS,..
Angola,AGO,"Lower secondary completion rate, male (% of relevant age group)",SE.SEC.CMPT.LO.MA.ZS,..
Angola,AGO,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..
Angola,AGO,Lower secondary school starting age (years),SE.SEC.AGES,12
Angola,AGO,Net intake rate in grade 1 (% of official school-age population),SE.PRM.NINT.ZS,53.45547
Angola,AGO,"Net intake rate in grade 1, female (% of official school-age population)",SE.PRM.NINT.FE.ZS,47.30182
Angola,AGO,"Net intake rate in grade 1, male (% of official school-age population)",SE.PRM.NINT.MA.ZS,59.67504
Angola,AGO,"Over-age students, primary (% of enrollment)",SE.PRM.OENR.ZS,28.13743
Angola,AGO,"Over-age students, primary, female (% of female enrollment)",SE.PRM.OENR.FE.ZS,26.82836
Angola,AGO,"Over-age students, primary, male (% of male enrollment)",SE.PRM.OENR.MA.ZS,29.19722
Angola,AGO,"Persistence to grade 5, female (% of cohort)",SE.PRM.PRS5.FE.ZS,..
Angola,AGO,"Persistence to grade 5, male (% of cohort)",SE.PRM.PRS5.MA.ZS,..
Angola,AGO,"Persistence to grade 5, total (% of cohort)",SE.PRM.PRS5.ZS,..
Angola,AGO,"Persistence to last grade of primary, female (% of cohort)",SE.PRM.PRSL.FE.ZS,..
Angola,AGO,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,..
Angola,AGO,"Persistence to last grade of primary, total (% of cohort)",SE.PRM.PRSL.ZS,..
Angola,AGO,"Preprimary education, duration (years)",SE.PRE.DURS,1
Angola,AGO,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,33.9170303344727
Angola,AGO,"Primary completion rate, male (% of relevant age group)",SE.PRM.CMPT.MA.ZS,45.7797889709473
Angola,AGO,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,39.8072090148926
Angola,AGO,"Primary education, duration (years)",SE.PRM.DURS,6
Angola,AGO,"Primary education, pupils",SE.PRM.ENRL,4273006
Angola,AGO,"Primary education, pupils (% female)",SE.PRM.ENRL.FE.ZS,44.73841
Angola,AGO,"Primary education, teachers",SE.PRM.TCHR,93734
Angola,AGO,"Primary education, teachers (% female)",SE.PRM.TCHR.FE.ZS,..
Angola,AGO,Primary school starting age (years),SE.PRM.AGES,6
Angola,AGO,Progression to secondary school (%),SE.SEC.PROG.ZS,52.48167
Angola,AGO,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,..
Angola,AGO,"Progression to secondary school, male (%)",SE.SEC.PROG.MA.ZS,..
Angola,AGO,"Pupil-teacher ratio, lower secondary",SE.SEC.ENRL.LO.TC.ZS,36.85848
Angola,AGO,"Pupil-teacher ratio, preprimary",SE.PRE.ENRL.TC.ZS,37.06511
Angola,AGO,"Pupil-teacher ratio, primary",SE.PRM.ENRL.TC.ZS,45.58651
Angola,AGO,"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,..
Angola,AGO,"Pupil-teacher ratio, tertiary",SE.TER.ENRL.TC.ZS,..
Angola,AGO,"Pupil-teacher ratio, upper secondary",SE.SEC.ENRL.UP.TC.ZS,..
Angola,AGO,"Repeaters, primary, female (% of female enrollment)",SE.PRM.REPT.FE.ZS,11.69095
Angola,AGO,"Repeaters, primary, male (% of male enrollment)",SE.PRM.REPT.MA.ZS,10.16262
Angola,AGO,"Repeaters, primary, total (% of total enrollment)",SE.PRM.REPT.ZS,10.84637
Angola,AGO,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,85.8374710083008
Angola,AGO,"School enrollment, preprimary, female (% gross)",SE.PRE.ENRR.FE,85.9536819458008
Angola,AGO,"School enrollment, preprimary, male (% gross)",SE.PRE.ENRR.MA,85.7201766967773
Angola,AGO,"School enrollment, primary (% gross)",SE.PRM.ENRR,105.781036376953
Angola,AGO,"School enrollment, primary (% net)",SE.PRM.NENR,75.80242
Angola,AGO,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.799430012702942
Angola,AGO,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,0.777629971504211
Angola,AGO,"School enrollment, primary, female (% gross)",SE.PRM.ENRR.FE,94.0566482543945
Angola,AGO,"School enrollment, primary, female (% net)",SE.PRM.NENR.FE,68.62343
Angola,AGO,"School enrollment, primary, male (% gross)",SE.PRM.ENRR.MA,117.654167175293
Angola,AGO,"School enrollment, primary, male (% net)",SE.PRM.NENR.MA,83.07248
Angola,AGO,"School enrollment, primary, private (% of total primary)",SE.PRM.PRIV.ZS,1.94600999355316
Angola,AGO,"School enrollment, secondary (% gross)",SE.SEC.ENRR,26.259220123291
Angola,AGO,"School enrollment, secondary (% net)",SE.SEC.NENR,11.29064
Angola,AGO,"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS,0.678709983825684
Angola,AGO,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,21.2644596099854
Angola,AGO,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,10.07569
Angola,AGO,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,31.3305492401123
Angola,AGO,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,12.52422
Angola,AGO,"School enrollment, secondary, private (% of total secondary)",SE.SEC.PRIV.ZS,10.5841903686523
Angola,AGO,"School enrollment, tertiary (% gross)",SE.TER.ENRR,..
Angola,AGO,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,..
Angola,AGO,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,..
Angola,AGO,"School enrollment, tertiary, male (% gross)",SE.TER.ENRR.MA,..
Angola,AGO,"Secondary education, duration (years)",SE.SEC.DURS,6
Angola,AGO,"Secondary education, general pupils",SE.SEC.ENRL.GC,487529
Angola,AGO,"Secondary education, general pupils (% female)",SE.SEC.ENRL.GC.FE.ZS,46.27889
Angola,AGO,"Secondary education, pupils",SE.SEC.ENRL,850334
Angola,AGO,"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS,40.7975
Angola,AGO,"Secondary education, teachers",SE.SEC.TCHR,..
Angola,AGO,"Secondary education, teachers (% female)",SE.SEC.TCHR.FE.ZS,..
Angola,AGO,"Secondary education, teachers, female",SE.SEC.TCHR.FE,..
Angola,AGO,"Secondary education, vocational pupils",SE.SEC.ENRL.VO,362805
Angola,AGO,"Secondary education, vocational pupils (% female)",SE.SEC.ENRL.VO.FE.ZS,33.43173
Angola,AGO,"Tertiary education, academic staff (% female)",SE.TER.TCHR.FE.ZS,..
Angola,AGO,Trained teachers in lower secondary education (% of total teachers),SE.SEC.TCAQ.LO.ZS,..
Angola,AGO,"Trained teachers in lower secondary education, female (% of female teachers)",SE.SEC.TCAQ.LO.FE.ZS,..
Angola,AGO,"Trained teachers in lower secondary education, male (% of male teachers)",SE.SEC.TCAQ.LO.MA.ZS,..
Angola,AGO,Trained teachers in preprimary education (% of total teachers),SE.PRE.TCAQ.ZS,45.147518157959
Angola,AGO,"Trained teachers in preprimary education, female (% of female teachers)",SE.PRE.TCAQ.FE.ZS,48.0811386108398
Angola,AGO,"Trained teachers in preprimary education, male (% of male teachers)",SE.PRE.TCAQ.MA.ZS,43.1538696289063
Angola,AGO,Trained teachers in primary education (% of total teachers),SE.PRM.TCAQ.ZS,..
Angola,AGO,"Trained teachers in primary education, female (% of female teachers)",SE.PRM.TCAQ.FE.ZS,..
Angola,AGO,"Trained teachers in primary education, male (% of male teachers)",SE.PRM.TCAQ.MA.ZS,..
Angola,AGO,Trained teachers in secondary education (% of total teachers),SE.SEC.TCAQ.ZS,..
Angola,AGO,"Trained teachers in secondary education, female (% of female teachers)",SE.SEC.TCAQ.FE.ZS,..
Angola,AGO,"Trained teachers in secondary education, male (% of male teachers)",SE.SEC.TCAQ.MA.ZS,..
Angola,AGO,Trained teachers in upper secondary education (% of total teachers),SE.SEC.TCAQ.UP.ZS,..
Angola,AGO,"Trained teachers in upper secondary education, female (% of female teachers)",SE.SEC.TCAQ.UP.FE.ZS,..
Angola,AGO,"Trained teachers in upper secondary education, male (% of male teachers)",SE.SEC.TCAQ.UP.MA.ZS,..
Benin,BEN,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,94.92278
Benin,BEN,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,..
Benin,BEN,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,..
Benin,BEN,Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,..
Benin,BEN,"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS,..
Benin,BEN,"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,..
Benin,BEN,Children out of school (% of primary school age),SE.PRM.UNER.ZS,5.07721996307373
Benin,BEN,"Children out of school, female (% of female primary school age)",SE.PRM.UNER.FE.ZS,..
Benin,BEN,"Children out of school, male (% of male primary school age)",SE.PRM.UNER.MA.ZS,..
Benin,BEN,"Children out of school, primary",SE.PRM.UNER,75552
Benin,BEN,"Children out of school, primary, female",SE.PRM.UNER.FE,..
Benin,BEN,"Children out of school, primary, male",SE.PRM.UNER.MA,..
Benin,BEN,"Compulsory education, duration (years)",SE.COM.DURS,6
Benin,BEN,"Current education expenditure, primary (% of total expenditure in primary public institutions)",SE.XPD.CPRM.ZS,85.3099594116211
Benin,BEN,"Current education expenditure, secondary (% of total expenditure in secondary public institutions)",SE.XPD.CSEC.ZS,99.091796875
Benin,BEN,"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",SE.XPD.CTER.ZS,97.8521575927734
Benin,BEN,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,91.8484802246094
Benin,BEN,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,..
Benin,BEN,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,..
Benin,BEN,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Benin,BEN,"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.LO.FE.ZS,..
Benin,BEN,"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.LO.MA.ZS,..
Benin,BEN,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,..
Benin,BEN,"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.PO.FE.ZS,..
Benin,BEN,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS,..
Benin,BEN,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.PO.ZS,..
Benin,BEN,"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",SE.PRM.CUAT.FE.ZS,..
Benin,BEN,"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",SE.PRM.CUAT.MA.ZS,..
Benin,BEN,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",SE.PRM.CUAT.ZS,..
Benin,BEN,"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)",SE.TER.CUAT.ST.FE.ZS,..
Benin,BEN,"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)",SE.TER.CUAT.ST.MA.ZS,..
Benin,BEN,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",SE.TER.CUAT.ST.ZS,..
Benin,BEN,"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.UP.FE.ZS,..
Benin,BEN,"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.UP.MA.ZS,..
Benin,BEN,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.UP.ZS,..
Benin,BEN,"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.MS.FE.ZS,..
Benin,BEN,"Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.MS.MA.ZS,..
Benin,BEN,"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.MS.ZS,..
Benin,BEN,"Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.DO.FE.ZS,..
Benin,BEN,"Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.DO.MA.ZS,..
Benin,BEN,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.DO.ZS,..
Benin,BEN,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,52.82559
Benin,BEN,Expenditure on secondary education (% of government expenditure on education),SE.XPD.SECO.ZS,27.98253
Benin,BEN,Expenditure on tertiary education (% of government expenditure on education),SE.XPD.TERT.ZS,15.6043
Benin,BEN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.67997002601624
Benin,BEN,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,26.1439609527588
Benin,BEN,"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,13.66952
Benin,BEN,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,..
Benin,BEN,"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,63.11729
Benin,BEN,"Gross intake ratio in first grade of primary education, female (% of relevant age group)",SE.PRM.GINT.FE.ZS,142.03888
Benin,BEN,"Gross intake ratio in first grade of primary education, male (% of relevant age group)",SE.PRM.GINT.MA.ZS,151.04047
Benin,BEN,"Gross intake ratio in first grade of primary education, total (% of relevant age group)",SE.PRM.GINT.ZS,146.60229
Benin,BEN,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,..
Benin,BEN,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,..
Benin,BEN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..
Benin,BEN,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,..
Benin,BEN,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,..
Benin,BEN,"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,..
Benin,BEN,"Literacy rate, youth total (% of people ages 15-24)",SE.ADT.1524.LT.ZS,..
Benin,BEN,"Lower secondary completion rate, female (% of relevant age group)",SE.SEC.CMPT.LO.FE.ZS,..
Benin,BEN,"Lower secondary completion rate, male (% of relevant age group)",SE.SEC.CMPT.LO.MA.ZS,..
Benin,BEN,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..
Benin,BEN,Lower secondary school starting age (years),SE.SEC.AGES,12
Benin,BEN,Net intake rate in grade 1 (% of official school-age population),SE.PRM.NINT.ZS,60.94607
Benin,BEN,"Net intake rate in grade 1, female (% of official school-age population)",SE.PRM.NINT.FE.ZS,58.69958
Benin,BEN,"Net intake rate in grade 1, male (% of official school-age population)",SE.PRM.NINT.MA.ZS,63.13091
Benin,BEN,"Over-age students, primary (% of enrollment)",SE.PRM.OENR.ZS,9.51117
Benin,BEN,"Over-age students, primary, female (% of female enrollment)",SE.PRM.OENR.FE.ZS,8.80866
Benin,BEN,"Over-age students, primary, male (% of male enrollment)",SE.PRM.OENR.MA.ZS,10.12093
Benin,BEN,"Persistence to grade 5, female (% of cohort)",SE.PRM.PRS5.FE.ZS,60.6847496032715
Benin,BEN,"Persistence to grade 5, male (% of cohort)",SE.PRM.PRS5.MA.ZS,65.0610961914063
Benin,BEN,"Persistence to grade 5, total (% of cohort)",SE.PRM.PRS5.ZS,62.9836082458496
Benin,BEN,"Persistence to last grade of primary, female (% of cohort)",SE.PRM.PRSL.FE.ZS,52.9566497802734
Benin,BEN,"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS,58.3122901916504
Benin,BEN,"Persistence to last grade of primary, total (% of cohort)",SE.PRM.PRSL.ZS,55.7844314575195
Benin,BEN,"Preprimary education, duration (years)",SE.PRE.DURS,2
Benin,BEN,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,58.195068359375
Benin,BEN,"Primary completion rate, male (% of relevant age group)",SE.PRM.CMPT.MA.ZS,75.0115585327148
Benin,BEN,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,66.7116088867188
Benin,BEN,"Primary education, duration (years)",SE.PRM.DURS,6
Benin,BEN,"Primary education, pupils",SE.PRM.ENRL,1787940
Benin,BEN,"Primary education, pupils (% female)",SE.PRM.ENRL.FE.ZS,46.46604
Benin,BEN,"Primary education, teachers",SE.PRM.TCHR,38540
Benin,BEN,"Primary education, teachers (% female)",SE.PRM.TCHR.FE.ZS,19.0010395050049
Benin,BEN,Primary school starting age (years),SE.PRM.AGES,6
Benin,BEN,Progression to secondary school (%),SE.SEC.PROG.ZS,78.34911
Benin,BEN,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,77.49599
Benin,BEN,"Progression to secondary school, male (%)",SE.SEC.PROG.MA.ZS,78.99477
Benin,BEN,"Pupil-teacher ratio, lower secondary",SE.SEC.ENRL.LO.TC.ZS,..
Benin,BEN,"Pupil-teacher ratio, preprimary",SE.PRE.ENRL.TC.ZS,33.24214
Benin,BEN,"Pupil-teacher ratio, primary",SE.PRM.ENRL.TC.ZS,46.3918
Benin,BEN,"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,..
Benin,BEN,"Pupil-teacher ratio, tertiary",SE.TER.ENRL.TC.ZS,17.76118
Benin,BEN,"Pupil-teacher ratio, upper secondary",SE.SEC.ENRL.UP.TC.ZS,..
Benin,BEN,"Repeaters, primary, female (% of female enrollment)",SE.PRM.REPT.FE.ZS,13.31692
Benin,BEN,"Repeaters, primary, male (% of male enrollment)",SE.PRM.REPT.MA.ZS,13.44996
Benin,BEN,"Repeaters, primary, total (% of total enrollment)",SE.PRM.REPT.ZS,13.38815
Benin,BEN,"School enrollment, preprimary (% gross)",SE.PRE.ENRR,17.4214305877686
Benin,BEN,"School enrollment, preprimary, female (% gross)",SE.PRE.ENRR.FE,17.8745498657227
Benin,BEN,"School enrollment, preprimary, male (% gross)",SE.PRE.ENRR.MA,16.9809894561768
Benin,BEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,120.152008056641
Benin,BEN,"School enrollment, primary (% net)",SE.PRM.NENR,94.92278
Benin,BEN,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.89164000749588
Benin,BEN,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,..
Benin,BEN,"School enrollment, primary, female (% gross)",SE.PRM.ENRR.FE,113.182266235352
Benin,BEN,"School enrollment, primary, female (% net)",SE.PRM.NENR.FE,..
Benin,BEN,"School enrollment, primary, male (% gross)",SE.PRM.ENRR.MA,126.936729431152
Benin,BEN,"School enrollment, primary, male (% net)",SE.PRM.NENR.MA,..
Benin,BEN,"School enrollment, primary, private (% of total primary)",SE.PRM.PRIV.ZS,13.1964702606201
Benin,BEN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..
Benin,BEN,"School enrollment, secondary (% net)",SE.SEC.NENR,..
Benin,BEN,"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS,..
Benin,BEN,"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE,..
Benin,BEN,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,..
Benin,BEN,"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA,..
Benin,BEN,"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA,..
Benin,BEN,"School enrollment, secondary, private (% of total secondary)",SE.SEC.PRIV.ZS,..
Benin,BEN,"School enrollment, tertiary (% gross)",SE.TER.ENRR,13.7751197814941
Benin,BEN,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,0.353899985551834
Benin,BEN,"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE,7.18677997589111
Benin,BEN,"School enrollment, tertiary, male (% gross)",SE.TER.ENRR.MA,20.307279586792
Benin,BEN,"Secondary education, duration (years)",SE.SEC.DURS,7
Benin,BEN,"Secondary education, general pupils",SE.SEC.ENRL.GC,..
